1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.920225	0.000000	62.698171	0.016236	533.2
1	-0.884638	0.000000	62.698171	0.015390	8.7
2	-0.880561	1.000000	59.848254	0.016851	8.7
3	-0.877415	0.200000	62.106679	0.015797	11.4
4	-0.895279	1.200000	59.309081	0.015858	11.2
5	-0.871559	2.200000	56.752655	0.015722	8.4
6	-0.917338	1.400000	58.779535	0.016326	9.5
7	-0.888237	0.600000	60.956555	0.016330	8.7
8	-0.897358	1.600000	58.259363	0.016090	10.0
9	-0.893976	0.800000	60.397321	0.015725	10.3
10	-0.891434	0.000000	62.698171	0.015737	8.6
11	-0.900842	1.000000	59.848254	0.015117	9.8
12	-0.867870	2.000000	57.246156	0.014374	9.5
13	-0.889575	1.200000	59.309081	0.017124	12.4
14	-0.867398	2.200000	56.752655	0.016808	12.4
15	-0.904507	1.400000	58.779535	0.015979	9.4
16	-0.882572	2.400000	56.267590	0.015968	10.6
17	-0.903396	3.400000	53.961541	0.017377	10.4
18	-0.901199	4.400000	51.837071	0.016378	10.3
19	-0.882227	3.600000	53.522829	0.019099	8.5
20	-0.889881	2.800000	55.321916	0.016233	8.7
21	-0.887116	2.000000	57.246156	0.014203	8.3
22	-0.881991	3.000000	54.860900	0.016022	8.0
23	-0.879143	4.000000	52.666464	0.017384	7.9
24	-0.889289	5.000000	50.640831	0.016321	8.8
25	-0.908410	4.200000	52.248476	0.015894	7.9
26	-0.893017	5.200000	50.254259	0.016826	7.9
27	-0.902897	6.200000	48.406676	0.016027	8.3
28	-0.896374	7.200000	46.690127	0.015744	8.0
29	-0.874163	8.200000	45.091150	0.016000	7.9
30	-0.899360	9.200000	43.598066	0.014878	8.0
31	-0.888008	8.400000	44.784408	0.016673	8.0
32	-0.877952	7.600000	46.037119	0.016590	7.9
33	-0.903718	6.800000	47.361928	0.014719	7.8
34	-0.905901	7.800000	45.717416	0.015719	7.8
35	-0.891371	7.000000	47.023628	0.015984	7.9
36	-0.900976	8.000000	45.402124	0.017034	7.9
37	-0.884016	7.200000	46.690127	0.014753	7.7
38	-0.898986	8.200000	45.091150	0.016144	7.8
39	-0.886257	9.200000	43.598066	0.014995	7.7
40	-0.878468	8.400000	44.784408	0.016864	8.4
41	-0.888374	7.600000	46.037119	0.016959	7.7
42	-0.899838	6.800000	47.361928	0.017095	7.7
43	-0.879285	6.000000	48.765244	0.017246	7.7
44	-0.886669	7.000000	47.023628	0.016288	7.8
45	-0.897773	8.000000	45.402124	0.015581	7.8
46	-0.881378	7.200000	46.690127	0.017492	7.7
47	-0.900935	6.400000	48.053343	0.015434	7.8
48	-0.891300	7.400000	46.361324	0.015424	8.1
49	-0.890169	6.600000	47.705130	0.017441	7.9
50	-0.882474	7.600000	46.037119	0.014779	8.1
51	-0.870300	8.600000	44.481811	0.015530	8.1
52	-0.911038	9.600000	43.028157	0.014762	7.9
53	-0.914501	10.600000	41.666506	0.016772	7.6
54	-0.902604	11.600000	40.388392	0.017409	7.9
55	-0.874816	12.600000	39.186357	0.015460	7.9
56	-0.900264	11.800000	40.142122	0.015918	8.3
57	-0.884172	11.000000	41.145675	0.016055	7.9
58	-0.897458	10.200000	42.200692	0.016439	7.8
59	-0.890538	9.400000	43.311237	0.016236	7.9
60	-0.884755	10.400000	41.931898	0.015297	8.1
61	-0.877842	9.600000	43.028157	0.017141	7.9
62	-0.873651	8.800000	44.183275	0.016724	7.7
63	-0.883253	9.800000	42.748753	0.017357	7.7
64	-0.896156	9.000000	43.888720	0.016548	7.7
65	-0.895270	8.200000	45.091150	0.015395	7.6
66	-0.900769	9.200000	43.598066	0.017241	7.7
67	-0.901556	8.400000	44.784408	0.016118	8.0
68	-0.887546	9.400000	43.311237	0.016103	8.5
69	-0.873172	10.400000	41.931898	0.015317	9.1
70	-0.877662	11.400000	40.637704	0.015227	8.3
71	-0.885232	10.600000	41.666506	0.016311	8.7
72	-0.894423	9.800000	42.748753	0.015223	8.9
73	-0.885826	10.800000	41.404453	0.016165	9.3
74	-0.896574	11.800000	40.142122	0.016520	9.5
75	-0.891267	12.800000	38.954485	0.017389	9.4
76	-0.896698	12.000000	39.898836	0.015797	9.3
77	-0.865026	11.200000	40.890112	0.015151	10.2
78	-0.884689	12.200000	39.658482	0.016167	9.9
79	-0.925192	11.400000	40.637703	0.016854	8.3
80	-0.895597	12.400000	39.421006	0.016826	9.2
81	-0.892186	13.400000	38.275047	0.017484	8.9
82	-0.891316	14.400000	37.193831	0.016871	8.0
83	-0.885819	13.600000	38.053804	0.016832	8.0
84	-0.867201	14.600000	36.984877	0.016215	8.0
85	-0.873733	13.800000	37.835104	0.017037	7.9
86	-0.883497	13.000000	38.725341	0.016197	8.0
87	-0.908357	14.000000	37.618903	0.017829	8.2
88	-0.915583	15.000000	36.573934	0.015932	8.1
89	-0.877929	14.200000	37.405159	0.014736	8.0
90	-0.887830	15.200000	36.371868	0.016904	7.9
91	-0.899648	14.400000	37.193831	0.017902	7.9
92	-0.885852	13.600000	38.053804	0.016024	7.9
93	-0.884327	12.800000	38.954486	0.016284	7.9
94	-0.884005	13.800000	37.835104	0.016217	8.0
95	-0.904434	14.800000	36.778257	0.015205	7.9
96	-0.907801	15.800000	35.778848	0.015515	8.0
97	-0.901075	15.000000	36.573934	0.016738	7.9
98	-0.884260	14.200000	37.405159	0.014971	7.8
99	-0.887167	15.200000	36.371868	0.015261	7.7
