1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-1.068693	0.000000	484.308294	0.007636	196.4
1	-1.048797	0.000000	484.308294	0.006551	8.0
2	-1.061738	0.000000	484.308294	0.005631	9.4
3	-1.069095	0.000000	484.308294	0.005965	8.7
4	-1.047441	0.000000	484.308294	0.007346	10.3
5	-1.073912	0.000000	484.308294	0.006235	9.0
6	-1.099809	0.999998	462.294330	0.007321	8.5
7	-1.060094	0.199998	479.739401	0.006977	8.1
8	-1.094157	0.000000	484.308294	0.006470	7.6
9	-1.087373	1.000000	462.294281	0.006374	8.7
10	-1.082028	0.200000	479.739348	0.006350	7.2
11	-1.092432	0.000000	484.308294	0.005896	8.5
12	-1.065901	0.000000	484.308294	0.005912	7.3
13	-1.107137	0.000000	484.308294	0.005564	7.6
14	-1.113891	0.000000	484.308294	0.006864	7.3
15	-1.111992	0.000000	484.308294	0.006913	7.5
16	-1.102337	1.000000	462.294281	0.005754	7.3
17	-1.099102	2.000000	442.194529	0.006645	7.6
18	-1.127247	1.200000	458.129467	0.007171	7.9
19	-1.115298	0.400000	475.255803	0.007613	7.2
20	-1.139766	1.400000	454.039026	0.006201	7.4
21	-1.129028	0.600000	470.855286	0.006695	7.8
22	-1.113080	0.000000	484.308294	0.006214	7.6
23	-1.125990	0.000000	484.308294	0.007003	7.4
24	-1.129526	1.000000	462.294281	0.006602	8.4
25	-1.122881	2.000000	442.194529	0.005930	7.4
26	-1.113399	1.200000	458.129467	0.005468	7.5
27	-1.138384	2.200000	438.382507	0.005894	7.4
28	-1.132450	1.400000	454.039026	0.005318	7.4
29	-1.148745	0.600000	470.855286	0.006828	7.1
30	-1.138724	0.000000	484.308294	0.005476	7.5
31	-1.124958	0.000000	484.308294	0.006238	7.5
32	-1.143668	0.000000	484.308294	0.005807	7.8
33	-1.144596	1.000000	462.294281	0.006365	7.5
34	-1.136957	0.923652	463.904199	0.006981	7.8
35	-1.132113	0.123652	481.473290	0.006177	7.4
36	-1.157260	1.123652	459.710459	0.005580	7.0
37	-1.153797	0.323652	476.957429	0.007173	7.6
38	-1.153668	1.323652	455.591864	0.005750	8.1
39	-1.121402	0.523652	472.525491	0.004648	7.6
40	-1.154900	0.000000	484.308294	0.005635	7.4
41	-1.166964	0.000000	484.308294	0.006527	7.7
42	-1.162577	1.000000	462.294281	0.006519	7.5
43	-1.165243	2.000000	442.194529	0.005532	7.4
44	-1.145496	1.200000	458.129467	0.006544	7.8
45	-1.134693	0.400000	475.255803	0.006098	7.3
46	-1.158141	1.400000	454.039026	0.005516	7.5
47	-1.145953	2.400000	434.635648	0.007365	7.8
48	-1.167419	1.600000	450.020981	0.005256	8.0
49	-1.178183	0.800000	466.535513	0.005738	7.7
50	-1.146263	0.000000	484.308294	0.005546	7.7
51	-1.138730	0.000000	484.308294	0.007110	7.5
52	-1.171474	1.000000	462.294281	0.006588	9.2
53	-1.157193	2.000000	442.194529	0.006168	8.3
54	-1.158485	1.200000	458.129467	0.007140	9.2
55	-1.163337	0.400000	475.255803	0.008175	9.1
56	-1.160653	1.400000	454.039026	0.007347	8.7
57	-1.185710	2.400000	434.635648	0.006576	9.1
58	-1.153604	3.400000	416.822712	0.006565	9.4
59	-1.165368	2.600000	430.952295	0.006194	9.4
60	-1.178773	3.600000	413.433910	0.006327	7.7
61	-1.181888	4.600000	397.284147	0.006205	9.1
62	-1.191202	5.600000	382.348653	0.005444	8.5
63	-1.177167	4.800000	394.204425	0.005708	10.1
64	-1.182316	5.800000	379.495305	0.005590	9.0
65	-1.163678	6.800000	365.844395	0.006864	8.9
66	-1.145949	7.800000	353.141464	0.005756	8.7
67	-1.183327	7.000000	363.231220	0.005457	9.1
68	-1.145422	6.200000	373.914492	0.006631	8.3
69	-1.169211	7.200000	360.655112	0.006656	8.0
70	-1.176468	8.200000	348.303910	0.006126	8.2
71	-1.193597	9.109690	337.780769	0.006040	7.8
72	-1.159886	8.309690	347.000403	0.006594	8.1
73	-1.192947	9.309690	335.551906	0.005292	8.0
74	-1.175431	10.309690	324.834715	0.005472	10.2
75	-1.179171	11.309690	314.780929	0.006117	11.0
76	-1.171875	12.309690	305.330798	0.006355	10.1
77	-1.151383	11.509690	312.844393	0.006607	9.3
78	-1.206215	10.709690	320.737107	0.007120	10.7
79	-1.172037	11.709690	310.931538	0.007287	10.4
80	-1.156341	10.909690	318.726827	0.005869	8.4
81	-1.171354	11.909690	309.041934	0.006594	9.6
82	-1.163984	12.909690	299.928257	0.005262	9.1
83	-1.172216	12.109690	307.175157	0.006692	8.4
84	-1.178445	11.309690	314.780929	0.005234	7.8
85	-1.184345	10.509690	322.772907	0.005645	7.9
86	-1.148092	9.709690	331.181273	0.007093	7.8
87	-1.172066	10.709690	320.737107	0.006701	8.4
88	-1.176444	11.709690	310.931538	0.005885	7.5
89	-1.173767	12.709690	301.707735	0.006168	8.0
90	-1.216395	13.709690	293.015415	0.005999	7.5
91	-1.222890	14.708755	284.817386	0.005918	7.4
92	-1.183633	15.708755	277.058545	0.006313	7.2
93	-1.181412	16.708755	269.711219	0.006196	7.1
94	-1.195676	17.708755	262.743513	0.006181	7.6
95	-1.190443	18.708755	256.126747	0.005818	7.5
96	-1.183257	17.908755	261.392950	0.005191	7.5
97	-1.196732	17.108755	266.880255	0.005995	7.3
98	-1.163803	18.108755	260.056201	0.005478	7.3
99	-1.209907	17.308755	265.486943	0.006909	7.4
