1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.987236	0.000000	207.921371	0.010390	192.3
1	-0.961841	0.000000	207.921371	0.010058	8.3
2	-0.978204	1.000000	198.470400	0.009631	8.4
3	-1.004134	0.200000	205.959849	0.009765	8.1
4	-0.991671	0.000000	207.921371	0.008956	8.0
5	-1.006391	0.000000	207.921371	0.009073	7.6
6	-1.009730	0.000000	207.921371	0.008834	8.2
7	-1.007875	1.000000	198.470400	0.008708	8.4
8	-1.003579	0.200000	205.959849	0.009399	7.6
9	-0.993393	0.000000	207.921371	0.008924	8.1
10	-0.995215	0.000000	207.921371	0.009603	7.8
11	-0.962024	0.000000	207.921371	0.009611	8.0
12	-0.988033	0.000000	207.921371	0.009587	7.5
13	-1.006422	0.000000	207.921371	0.010360	8.3
14	-1.003514	1.000000	198.470400	0.010502	7.5
15	-1.004118	0.200000	205.959849	0.010318	7.5
16	-1.016599	1.200000	196.682378	0.010206	7.6
17	-0.975640	2.200000	188.204689	0.008916	7.4
18	-0.979623	1.400000	194.926285	0.010002	7.6
19	-1.007008	2.400000	186.596102	0.009203	7.3
20	-1.015535	3.400000	178.948721	0.009893	7.6
21	-1.004526	2.600000	185.014779	0.010167	7.7
22	-1.045175	1.800000	191.506526	0.009790	7.5
23	-0.984570	1.000000	198.470400	0.008932	7.5
24	-0.997108	0.200000	205.959849	0.009647	7.3
25	-1.007721	0.000000	207.921371	0.009477	7.6
26	-1.016671	0.000000	207.921371	0.008670	8.2
27	-0.994214	0.000000	207.921371	0.009097	13.9
28	-0.996538	1.000000	198.470400	0.010252	16.8
29	-1.004539	0.200000	205.959849	0.008949	17.8
30	-1.019046	0.000000	207.921371	0.009669	10.4
31	-1.000256	0.000000	207.921371	0.009854	11.4
32	-1.019882	0.000000	207.921371	0.009164	10.8
33	-1.010806	0.000000	207.921371	0.009738	11.8
34	-1.015582	1.000000	198.470400	0.009690	18.9
35	-1.006104	2.000000	189.841252	0.010180	18.4
36	-0.996436	1.200000	196.682378	0.009538	18.1
37	-1.001450	0.400000	204.034990	0.008775	16.2
38	-1.022924	0.000000	207.921371	0.009708	15.0
39	-1.008353	0.000000	207.921371	0.008624	22.5
40	-1.011154	1.000000	198.470400	0.009395	32.5
41	-1.017373	2.000000	189.841252	0.009976	31.2
42	-1.056056	1.200000	196.682378	0.009827	43.8
43	-1.020440	2.200000	188.204689	0.010157	20.5
44	-1.033945	1.400000	194.926285	0.009561	48.0
45	-1.021081	2.400000	186.596102	0.010865	20.0
46	-1.016944	1.600000	193.201274	0.009693	19.0
47	-1.011815	0.800000	200.291229	0.010837	31.1
48	-1.015824	1.800000	191.506526	0.009376	19.6
49	-1.007354	2.800000	183.460033	0.009618	17.2
50	-1.038936	2.000000	189.841252	0.010922	17.1
51	-1.022544	3.000000	181.931200	0.009526	15.7
52	-1.017701	2.252835	187.777050	0.009388	15.0
53	-1.004103	3.252835	180.034572	0.009567	14.8
54	-1.018265	4.252835	172.905290	0.010074	12.3
55	-1.008215	3.452835	178.562067	0.010355	23.1
56	-1.029764	2.652835	184.601498	0.009896	17.7
57	-1.009915	1.852835	191.063768	0.009303	16.5
58	-1.038117	1.052835	197.994896	0.009618	10.2
59	-1.023762	0.252835	205.447827	0.009172	14.0
60	-0.990575	1.252835	196.215393	0.009312	12.9
61	-1.024538	0.452835	203.532483	0.008680	12.5
62	-1.034367	1.452835	194.467592	0.010680	10.1
63	-1.015774	0.652835	201.652521	0.009424	8.8
64	-1.028379	0.000000	207.921371	0.009602	11.8
65	-1.012569	0.000000	207.921371	0.008688	12.4
66	-1.006915	0.000000	207.921371	0.009316	17.6
67	-1.021605	0.000000	207.921371	0.009301	19.0
68	-1.006596	0.000000	207.921371	0.009795	16.3
69	-1.055262	1.000000	198.470400	0.009077	15.7
70	-1.005003	0.200000	205.959849	0.008674	17.0
71	-1.027183	0.000000	207.921371	0.009417	13.8
72	-1.015325	0.000000	207.921371	0.008751	11.3
73	-1.006123	0.000000	207.921371	0.010006	13.1
74	-1.023583	0.000000	207.921371	0.009343	13.2
75	-0.988396	0.000000	207.921371	0.009933	10.0
76	-1.026241	1.000000	198.470400	0.009461	10.2
77	-1.018995	0.200000	205.959849	0.009472	9.7
78	-1.007722	0.000000	207.921371	0.009451	8.9
79	-1.028575	0.000000	207.921371	0.009621	9.8
80	-1.023366	0.000000	207.921371	0.010054	9.6
81	-1.015050	0.000000	207.921371	0.008963	9.2
82	-1.007316	0.000000	207.921371	0.009183	9.3
83	-1.039111	0.000000	207.921371	0.009446	8.0
84	-1.023116	0.000000	207.921371	0.009482	9.6
85	-1.035008	0.000000	207.921371	0.010351	8.7
86	-1.025556	1.000000	198.470400	0.010003	8.7
87	-1.005151	2.000000	189.841252	0.010189	9.8
88	-1.024161	3.000000	181.931200	0.009192	8.1
89	-1.015441	4.000000	174.653952	0.009035	7.4
90	-1.040050	3.200000	180.427636	0.009137	7.5
91	-1.033541	2.400000	186.596102	0.009164	7.4
92	-1.029905	1.600000	193.201274	0.009538	7.3
93	-1.040662	0.800000	200.291229	0.010385	7.3
94	-1.031363	0.000000	207.921371	0.008994	9.7
95	-1.049550	1.000000	198.470400	0.009020	9.7
96	-1.037817	0.200000	205.959849	0.010505	9.0
97	-1.041084	1.200000	196.682378	0.009512	7.1
98	-1.034248	2.200000	188.204689	0.009629	7.4
99	-1.008084	1.400000	194.926285	0.009580	6.9
