65.75	94.12	113.30
34.50	77.88	127.22
117.00	109.20	41.38
55.75	84.26	46.02
53.25	48.30	101.12
30.75	68.02	65.74
52.00	95.86	109.24
28.25	77.30	66.32
69.50	102.82	102.86
88.25	106.30	48.92
78.25	94.70	126.64
33.25	79.62	65.16
32.00	77.88	123.74
95.75	23.94	115.04
100.75	92.38	32.68
73.25	50.62	138.82
35.75	59.90	52.98
94.50	84.84	35.58
57.00	88.32	46.02
53.25	50.04	120.26
88.25	94.70	113.88
23.25	83.10	52.40
28.25	84.26	57.04
84.50	44.82	27.46
80.75	34.96	67.48
73.25	38.44	112.14
85.75	98.18	33.26
84.50	94.70	126.64
94.50	41.92	25.72
53.25	55.26	45.44
85.75	77.30	69.22
73.25	86.00	128.96
63.25	54.10	45.44
90.75	69.76	28.04
77.00	84.26	25.72
90.75	42.50	119.10
35.75	68.60	109.24
37.00	73.82	101.70
77.00	39.60	58.20
67.00	97.02	46.02
98.25	101.08	58.78
93.25	75.56	51.82
87.00	91.22	29.20
29.50	70.34	61.10
32.00	78.46	50.08
33.25	73.82	66.32
95.75	52.36	44.28
109.50	35.54	40.80
87.00	26.26	97.06
38.25	73.24	60.52
85.75	93.54	50.66
35.75	63.96	66.32
37.00	64.54	64.58
83.25	36.70	37.90
55.75	99.34	120.26
84.50	37.86	119.68
90.75	50.62	122.00
78.25	51.78	54.14
87.00	100.50	123.16
47.00	92.38	50.08
90.75	41.92	49.50
113.25	97.60	58.78
102.00	32.64	35.00
33.25	70.34	125.48
59.50	79.04	37.32
59.50	63.38	59.94
83.25	95.28	118.52
78.25	68.60	124.90
95.75	32.64	40.22
58.25	91.80	35.00
44.50	85.42	126.64
33.25	71.50	117.36
90.75	66.86	121.42
60.75	66.28	29.78
73.25	88.90	46.60
100.75	30.90	54.72
74.50	61.64	141.14
104.50	71.50	48.34
87.00	55.26	52.40
78.25	58.16	41.38
93.25	85.42	38.48
99.50	87.16	110.40
115.75	96.44	129.54
19.50	76.14	67.48
98.25	72.08	126.06
80.75	43.08	47.18
119.50	52.94	137.66
70.75	91.80	119.68
67.00	79.04	68.64
93.25	68.60	139.98
47.00	88.32	68.64
68.25	74.98	136.50
105.75	26.84	58.20
74.50	93.54	55.30
97.00	73.82	58.78
89.50	47.72	134.18
78.25	48.30	117.94
48.25	97.60	119.68
80.75	84.26	39.06
33.25	82.52	119.10
80.75	54.68	133.60
83.25	54.10	24.56
85.75	98.18	33.26
99.50	86.58	24.56
114.50	74.98	15.86
90.75	63.96	141.72
75.75	88.32	35.00
108.25	32.06	59.36
78.25	39.02	56.46
24.50	67.44	61.68
37.00	68.60	110.98
99.50	59.32	139.98
69.50	68.02	28.62
99.50	26.84	54.72
